index,Drug_Name,Reason,Description,Side_Effects
1997,Lupizyme Syrup 200mlLupizyme Drops 15mlLupizyme Strawberry Syrup 200mlLupizyme Capsule 10'SLupizyme Elachi Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Vomiting, Drowsiness, Dry mouth"
1998,Lupizyme Plus Mixed Fruit Syrup 200mlLupizyme Plus Mango Flavour Syrup 200mlLupizyme Plus Orange Syrup 200ml,Digestion,it provides extra digestive enzymes and improves digestion,"Headache, Rash, Drowsiness"
1999,Lupizyme Plus Pineapple Flavour Syrup 100ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Dry mouth, Rash, Dizziness"
2000,Maxizym Syrup 200mlMaxizym Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Diarrhea, Dry mouth, Fatigue"
2001,MEDIZYME Tablet 10's,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Drowsiness, Rash, Diarrhea"
2002,Merizyme Drops 15mlMerizyme Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Fatigue, Dizziness, Diarrhea"
2003,Meyerzyme Liquid 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Diarrhea, Dizziness, Vomiting"
2004,Multizyme (Alkem) 40/20mg Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Dry mouth, Rash, Headache"
2005,Neopeptine 100mg Capsule 10'SNeopeptine Drops 15mlNeopeptine Liquid 100mlNeopeptine Suspension 60ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Dizziness, Fatigue, Drowsiness"
2006,NEW Aglozyme Capsule 15'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Nausea, Headache, Diarrhea"
2007,Novazyme Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Stomach pain, Nausea, Rash"
2008,Nutrozyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Diarrhea, Dizziness, Drowsiness"
2009,Overzyme Syrup 200mlOverzyme Syrup 100ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Diarrhea, Dizziness, Fatigue"
2010,Pancrehenz 25000 Capsule 10'SPancrehenz 10000 Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Headache, Nausea, Dry mouth"
2011,Pankreoflat Tablet 10'SPankreoflat Tablet 15'SPankreoflat Liquid 100ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Fatigue, Drowsiness, Dizziness"
2012,Panlipase Capsule 10'SPanlipase 25000IU Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Drowsiness, Rash, Vomiting"
2013,Panmate 25000mg Capsule 10'SPanmate 10000mg Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Dizziness, Nausea, Dry mouth"
2014,Panstal Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Headache, Stomach pain, Vomiting"
2015,Panzynorm HS Tablet 10'SPanzynorm N Tablet 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Stomach pain, Rash, Fatigue"
2016,Papytazyme Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions","Nausea, Stomach pain, Fatigue"
2017,Pepfiz Evt Tablet 2'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Vomiting, Diarrhea, Stomach pain"
2018,Phytocid GT Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Dizziness, Rash, Fatigue"
2019,Progit 10mg Tablet 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Dry mouth, Dizziness, Vomiting"
2020,Q Next Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Dry mouth, Vomiting, Stomach pain"
2021,Reboot Drops 15ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Dizziness, Dry mouth, Vomiting"
2022,Safelax Powder 17.1gm,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Headache, Dizziness, Dry mouth"
2023,Serutan Tablet 10'SSerutan 215mg Tablet 30'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Drowsiness, Dry mouth, Headache"
2024,Seruzyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Stomach pain, Dry mouth, Fatigue"
2025,Softolax SF Powder 100gm,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Headache, Stomach pain, Vomiting"
2026,SOFTOVAC Powder 250gm,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Diarrhea, Rash, Fatigue"
2027,Spaslin Pediatric Oral Drops 15ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Vomiting, Nausea, Headache"
2028,Swizyme Syrup 200ml,Digestion,it provides extra digestive enzymes and improves digestion,"Diarrhea, Vomiting, Drowsiness"
2029,Tagon 2mg Tablet 10'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Nausea, Fatigue, Stomach pain"
2030,Tegod 6mg Tablet 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Diarrhea, Dizziness, Rash"
2031,Tummy Soft Dry Syrup 50ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Dizziness, Fatigue, Vomiting"
2032,Ultizyme Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Dizziness, Diarrhea, Dry mouth"
2033,Ultrazyme Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Headache, Stomach pain, Diarrhea"
2034,Unienzyme Drops 15mlUnienzyme Liquid 200mlUnienzyme Tablet 15'S,Digestion,it provides extra digestive enzymes and improves digestion,"Vomiting, Stomach pain, Rash"
2035,Unienzyme MPS Tablet 15'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Headache, Drowsiness, Nausea"
2036,Utipac Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Headache, Nausea, Vomiting"
2037,Vitazyme Drops 15mlVitazyme Liquid 200mlVitazyme Capsule 10'SVitazyme Syrup 60ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Vomiting, Dizziness, Headache"
2038,Winpert 25000IU Capsule 10'SWinpert 10000IU Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Dry mouth, Fatigue, Headache"
2039,Xymex Drops 30mlXymex Drops 15mlXymex Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Fatigue, Headache, Nausea"
2040,Xymex MPS Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions","Rash, Stomach pain, Vomiting"
2041,Zymnet Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Dizziness, Rash, Diarrhea"
2042,Zymopan Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Drowsiness, Nausea, Vomiting"
2043,1000 Para 1000mg Tablet 12'S,Fever,short-term treatment of fever,"Nausea, Diarrhea, Drowsiness"
2044,Aalcetamol 1000mg Infusion 100ml,Fever,short-term treatment of fever,"Fatigue, Drowsiness, Dry mouth"
2045,ACETO 250mg Syrup 60ml,Fever,short-term treatment of fever,"Stomach pain, Vomiting, Diarrhea"
2046,Agpar 125mg Suspension 450ml,Fever,short-term treatment of fever,"Drowsiness, Nausea, Dizziness"
2047,ALGINA 500MG TABLET 10'S,Fever,short-term treatment of fever,"Dizziness, Dry mouth, Stomach pain"
2048,AMIDOL Tablet 10's,Fever,short-term treatment of fever,"Diarrhea, Dizziness, Headache"
2049,Anaflam P Suspension 100ml,Fever,short-term treatment of fever,"Dizziness, Drowsiness, Nausea"
2050,Anglopar 125mg Drops 15mlAnglopar 500mg Tablet 10'SAnglopar 125mg Syrup 60mlAnglopar 650mg Tablet 10'S,Fever,short-term treatment of fever,"Rash, Headache, Vomiting"
2051,Babygesic 250mg Syrup 60mlBabygesic 125mg Syrup 60ml,Fever,short-term treatment of fever,"Fatigue, Drowsiness, Rash"
2052,Bestogesic Fast 650mg Tablet 10'S,Fever,short-term treatment of fever,"Headache, Vomiting, Drowsiness"
2053,Biocetamol 60mg Syrup 60mlBiocetamol 100mg Drops 10mlBiocetamol 150mg Injection 2ml,Fever,short-term treatment of fever,"Rash, Dizziness, Dry mouth"
2054,Biopyrin 650mg Tablet 15'S,Fever,short-term treatment of fever,"Vomiting, Dry mouth, Stomach pain"
2055,Brikamol 250mg Syrup 60ml,Fever,short-term treatment of fever,"Stomach pain, Fatigue, Headache"
2056,Brucet 400/333mg Tablet 3'S,Fever,short-term treatment of fever,"Diarrhea, Nausea, Stomach pain"
2057,Cachpar 500mg Tablet 10'S,Fever,short-term treatment of fever,"Stomach pain, Headache, Dry mouth"
2058,Calipar 250mg Syrup 60ml,Fever,short-term treatment of fever,"Stomach pain, Nausea, Rash"
2059,Calpol 100mg Drops 15mlCalpol 650mg Tablet 10'SCalpol 500mg Tablet 500'SCalpol 500mg Tablet 10'S,Fever,short-term treatment of fever,"Dizziness, Drowsiness, Nausea"
2060,Calpol Plus Suspension 60mlCalpol Plus 400/325mg Tablet 10'S,Fever,"used to treat migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Dizziness, Rash, Drowsiness"
2061,Captol 650mg Tablet 10'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Nausea, Fatigue, Stomach pain"
2062,CARE 650mg Tablet 10's,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Vomiting, Drowsiness, Dry mouth"
2063,Centamol 125mg Suspension 60ml,Fever,"Â fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Fatigue, Dry mouth, Rash"
2064,Cetamol 125mg Suspension 60ml,Fever,"it treatsÂ fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Headache, Vomiting, Dizziness"
2065,Cipmol 650mg Tablet 10'SCipmol 500mg Tablet 10'S,Fever,"short-term treatment for fever, moderate pain, especially following surgery","Diarrhea, Nausea, Headache"
2066,Coldmine Syrup 60ml,Fever,short-term treatment of fever,"Fatigue, Headache, Stomach pain"
2067,Conpar 50/500mg Tablet 10'S,Fever,"used to treat migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Nausea, Stomach pain, Dizziness"
2068,Crocin Quick 500mg Capsule 10'SCrocin Mixed Fruit Flavour 240mg Suspension 60mlCrocin 650mg Tablet 15'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Fatigue, Dry mouth, Rash"
2069,Cule 500mg Tablet 15'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Vomiting, Dizziness, Drowsiness"
2070,CZ Plus Tablet 10'S,Fever,"Â fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Diarrhea, Rash, Dizziness"
2071,Dikriz 120mg Dry Syrup 60ml,Fever,"it treatsÂ fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Dry mouth, Drowsiness, Nausea"
2072,Doliprane 650mg Tablet 6'S,Fever,"short-term treatment for fever, moderate pain, especially following surgery","Rash, Stomach pain, Vomiting"
2073,Doliza Plus Tablet 10'S,Fever,"it isÂ used for the relief of mild to moderate pain and feverish conditions such as headache, toothache, colds, influenza, joint pain and period pains","Dry mouth, Vomiting, Nausea"
2074,Dolocare 500mg Tablet 10'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Stomach pain, Diarrhea, Drowsiness"
2075,Dolodart 120mg Suspension 60ml,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Dry mouth, Vomiting, Rash"
2076,Dologlan 1000mg Infusion 100ml,Fever,"Â fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Drowsiness, Dizziness, Rash"
2077,Dolomol 250mg Syrup 60ml,Fever,"it treatsÂ fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Fatigue, Headache, Diarrhea"
2078,Dolopar 125mg Suspension 60ml,Fever,"short-term treatment for fever, moderate pain, especially following surgery","Nausea, Drowsiness, Dry mouth"
2079,Elcol Syrup 60ml,Fever,"it isÂ used for the relief of mild to moderate pain and feverish conditions such as headache, toothache, colds, influenza, joint pain and period pains","Dry mouth, Dizziness, Fatigue"
2080,Essmol 650mg Tablet 10'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Rash, Fatigue, Diarrhea"
2081,Febrex ER 650mg Tablet 10'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Dizziness, Nausea, Rash"
2082,Febrinil 150mg Injection 15ml,Fever,"Â fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Stomach pain, Vomiting, Drowsiness"
2083,Fepanil 1000mg Infusion 100ml,Fever,"it treatsÂ fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Stomach pain, Vomiting, Fatigue"
2084,Fevago Drops 15ml,Fever,used to reduce a fever (high temperature),"Rash, Diarrhea, Headache"
2085,Fevastin 150mg Injection 2ml,Fever,"used for mild to moderate pain including fever, headache, migraine, nerve pain, toothache, sore throat, period pains and general aches and pains","Rash, Headache, Dry mouth"
2086,Fevridol 150mg Injection 2mlFevridol 250mg Syrup 60ml,Fever,"used to relieve the symptoms of fever, cold and flu","Vomiting, Dizziness, Rash"
2087,Fevridol ER 650mg Tablet 10'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Dry mouth, Headache, Vomiting"
2088,Fibromet Suspension 60mlFibromet Syrup 60ml,Fever,"Â fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Nausea, Diarrhea, Dizziness"
2089,Finamac 1000mg Infusion 100ml,Fever,"it treatsÂ fever and pain, associated with common childhood disorders, tonsilitis, upper respiratory tract infection,","Dry mouth, Nausea, Vomiting"
2090,Flumol 650mg Tablet 10'S,Fever,"short-term treatment for fever, moderate pain, especially following surgery","Diarrhea, Fatigue, Dizziness"
2091,Gerpyrin 1000mg Injection 100ml,Fever,"it isÂ used for the relief of mild to moderate pain and feverish conditions such as headache, toothache, colds, influenza, joint pain and period pains","Nausea, Drowsiness, Headache"
2092,Glenpar 650mg Tablet 10'S,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Rash, Diarrhea, Drowsiness"
2093,Hospimol 1000mg Infusion 100ml,Fever,"used to treat headache migraine, fever, post-operative pain, dental pain, musculoskeletal and joint disorders","Diarrhea, Nausea, Drowsiness"
